,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
62,13-12-2022,Day,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88,4491.88
63,13-12-2022,Night,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92,2425.92
64,13-12-2022,Morning,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98,5944.98
65,14-12-2022,RTC,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75,4249.75
66,14-12-2022,Evening,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44,4685.44
67,14-12-2022,Day,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64,4717.64
68,14-12-2022,Night,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92,2428.92
69,14-12-2022,Morning,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88,5963.88
70,15-12-2022,RTC,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31,4420.31
71,15-12-2022,Evening,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75,5090.75
72,15-12-2022,Day,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46,4584.46
73,15-12-2022,Night,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12,2643.12
74,15-12-2022,Morning,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47,6237.47
75,16-12-2022,RTC,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04,5037.04
76,16-12-2022,Evening,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75,5919.75
77,16-12-2022,Day,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72,5079.72
78,16-12-2022,Night,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13,2921.13
79,16-12-2022,Morning,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15,7341.15
